dataset_id,title,resource_kind,priority,source_ids,rights,bundle_status,domain,scope,recommended_use_en,do_not_use_for_en,assessment_ko,next_acquisition_action,checked_date,raw_file_downloaded,scope_ko,recommended_use_ko,do_not_use_for_ko,next_acquisition_action_ko
ISU_ILCC,Iowa State ILCC cycling dataset,experimental_dataset,P1,S23;S11,not_reverified,metadata_only_primary_blocked,aging_design_of_experiments,"Archive summary: 238 commercial NMC/graphite pouch cells, 63 conditions, 30 C",Study condition interactions and between-cell variance using full-cell group splits.,One-temperature coverage cannot identify broad Arrhenius dependence. Summary counts have not been reconciled to downloaded files.,조건 조합과 개체 차이를 분석할 후보이다. 기록된 238개 셀·63개 조건은 아카이브 설명 기준이며 다운로드한 파일 수가 아니다.,Resolve DOI 10.25380/iastate.22582234; inspect manifest and license before using counts as acquisition totals.,2026-09-10,False,"아카이브 설명은 NMC/흑연 파우치 238개, 63개 조건, 30°C이다. 파일 수와 대조하지는 못했다.",조건 상호작용과 개체 분산을 셀 단위 분할로 분석한다.,한 온도 범위로 광범위한 Arrhenius 의존성을 식별하지 않는다.,DOI 10.25380/iastate.22582234를 확인하고 파일 목록·라이선스를 확보한 후 개체 수를 대조한다.
UM_EXPANSION,Michigan NMC111 expansion/aging,experimental_dataset,P1,S24;S11,not_reverified,metadata_only_primary_blocked,mechanical_aging,Archive summary: expansion with temperature/rate/DOD variation in NMC111/graphite cells,Constrain reversible intercalation strain versus irreversible swelling with fixture metadata.,Expansion measured under one fixture is not a free-expansion constitutive law; cannot separate gas and strain without supporting data.,팽창과 열화를 연계하는 중요한 후보이다. 구속 조건·하중·센서 위치가 빠지면 측정 두께를 재료 고유 변형률로 사용할 수 없다.,Acquire original data and fixture/protocol description; check pressure boundary conditions and cell matching.,2026-09-10,False,NMC111/흑연의 온도·율·DOD별 팽창 연구가 아카이브에 소개돼 있다.,가역 삽입 변형과 비가역 팽창을 지그 정보와 함께 제약한다.,하나의 구속 조건에서 측정한 팽창을 자유 팽창 법칙으로 사용하지 않는다.,원시 자료·지그·압력 경계·셀 정합성을 확보하고 확인한다.
UL_MODULE,UL-Purdue cell and module aging/safety studies,experimental_dataset,P2,S11;S12,institution_specific,metadata_only,module_aging,Archive includes NCA cell studies and module cycling at a stated 13.7-21 V range,Rare intermediate-scale validation candidate between a cell and a complete pack.,Module records are not OEM full-vehicle telemetry; chemistry/cell cohort and module topology need reconciliation.,셀과 자동차 팩 사이의 모듈 검증 후보이다. 셀 시험·모듈 시험·안전 시험이 동일 개체에서 연속 수행됐다고 임의로 연결하지 않는다.,"Request exact module files, Ns/Np topology, balancing and sensor information before claiming pack validity.",2026-09-10,False,아카이브에는 NCA 셀 연구 및 13.7~21 V 범위를 명시한 모듈 사이클 연구가 있다.,단일 셀과 완성 팩 사이의 중간 규모 검증에 활용한다.,서로 다른 셀·모듈·안전 시험을 같은 개체의 연속 이력으로 묶지 않는다.,정확한 모듈 파일과 Ns/Np·밸런싱·센서 정보를 요청한다.
ORNL_MECH,Mechanically induced thermal runaway v2,experimental_dataset,P2,S13,CC-BY-4.0,metadata_only,abuse_mechanical_thermal,"Version 2, 2024-09-24; voltage/load/stroke/point-temperature and specimen metadata","Evaluate statistical failure signatures and conditional damage-response models after matching chemistry, SOC and fixture.",Not a practical abuse-test procedure or safety certification. Triggered failure is not representative normal-operation heat generation.,전압·하중·변위·온도의 동시 관측이 핵심이다. 정상 발열 모델과 구분된 파손·위험도 검증에 사용하며 시험 수행 지침으로 제공하지 않는다.,Use DOI 10.17632/sn2kv34r4h.2 official export; preserve specimen and trigger metadata. Numerical files remain uncollected.,2026-09-10,False,"2024-09-24 공개 v2, 전압·하중·변위·점 온도와 시편 정보가 있는 파손 자료이다.",화학계·SOC·지그를 맞춘 조건부 손상 응답과 실패 신호를 분석한다.,실제 고장 유발 절차·안전 인증·정상 사이클 발열 보정으로 사용하지 않는다.,DOI 10.17632/sn2kv34r4h.2의 공식 내보내기를 이용하고 시편·유발 조건을 보존한다.
NLR_FAILURE,Battery Failure Databank,experimental_dataset,P2,S14,spreadsheet_terms_not_verified,metadata_only,abuse_calorimetry,Spreadsheet revision February 2024; cell body/ejecta heat and mass; multiple cell formats,Use aggregate heat/mass partitions and test-to-test variation to bound failure-energy models.,A total heat number is not a complete Arrhenius reaction network or normal-cycle calorimetry measurement.,셀 몸체와 분출물의 에너지 분배를 분리해 볼 수 있다. 총 발열량만으로 열폭주 반응 속도식을 고유하게 식별할 수는 없다.,Download official XLSX after checking its readme and terms. Page refresh dates are not dataset revision dates.,2026-09-10,False,스프레드시트 개정은 2024년 2월이며 몸체·분출물 열량과 질량을 제공한다.,파손 에너지 분배와 시험 간 변동성으로 위험 모델의 경계를 정한다.,총 발열량만으로 완전한 반응망이나 정상 사이클 열량을 식별하지 않는다.,공식 XLSX의 readme·사용 조건을 확인한 뒤 다운로드한다. 페이지 수정일과 데이터 개정일을 분리한다.
NLR_MICRO,Battery Microstructures Library,experimental_and_reconstructed_dataset,P2,S15;S16,custom_agreement_not_accepted,metadata_only,microstructure,NMC/graphite electrode tomography; gray and segmented volumes; reconstructed binder domain,Estimate geometry descriptors and transport priors with voxel-size and segmentation uncertainty.,Do not call all phases experimentally imaged; numerically generated carbon-binder regions are model-derived.,CT 기반 구조를 얻을 수 있으나 탄소·바인더 영역 일부는 수치적으로 생성된 것이다. 계측 구조와 재구성 구조를 분리해야 한다.,"User must review and accept source agreement personally; then record voxel, phase labels, calendering and reconstruction recipe.",2026-09-10,False,NMC·흑연 전극의 회색·분할 3D 구조이며 탄소·바인더 영역은 수치 재구성을 포함한다.,복셀·분할 불확실성을 포함해 형상 지표와 수송 사전 정보를 얻는다.,모든 상이 실험에서 직접 영상화됐다고 하지 않는다.,사용자가 이용 조건을 직접 검토·동의한 뒤 복셀·상 라벨·캘린더링·재구성 방법을 기록한다.
EPA_DRIVE,EPA US06 and dynamometer speed schedules,prescribed_input_dataset,P1,S17;S18;S19,scientific_educational_use;commercial_not_cleared,semantic_capture_included,vehicle_boundary_input,"US06 601 points, 0-600 s, mph; curated to SI separately",Provide repeatable speed boundary conditions for a later explicitly parameterized vehicle-load model.,"Speed is not current. No range/energy prediction is valid without vehicle, accessory, grade, efficiency and regeneration data.",실제 배터리 측정값이 아니라 규정된 속도 입력이다. 601행을 확보했지만 이를 바로 전류 곡선이나 전기차 주행거리로 바꾸지는 않았다.,Confirm commercial reuse separately under EPA policy; byte-identical original download pending. Use curated schedule for research with attribution.,2026-09-10,False,"US06 0~600초 601점, 원시 단위 mph이며 SI 파생본을 따로 둔다.",차량 변수가 명시된 후속 부하 모델의 재현 가능한 속도 입력으로 사용한다.,속도를 전류나 전기차 주행가능거리로 직접 변환하지 않는다.,과학 연구용 출처를 유지하고 상업 이용 조건은 별도 검토한다. 원본 바이트 대조는 대기 중이다.
BLAST_LITE,BLAST-Lite model resources,software_model_resource,P2,S20,inspect_upstream_code_and_data_licenses,metadata_only,semiempirical_aging,Published battery lifetime model family; chemistry-specific coefficients and examples,"Use as a model-family comparison and prior, keeping training domain and model origin explicit.",Predicted lifetime is not independent ground-truth data; avoid validating one surrogate against another as an experiment.,반경험적 열화 모델의 비교 기준이지 실험 정답 데이터가 아니다. 원시 관측과 모델이 생성한 결과를 같은 데이터 범주에 넣지 않는다.,"Obtain official linked repository, pin release and coefficient provenance; do not install or simulate during this research stage.",2026-09-10,False,화학계별 반경험적 수명 모델 계수·예제와 관련 도구군이다.,모델 계열의 비교 기준·사전 정보로 사용하고 원래 학습 영역을 보존한다.,예측 수명을 독립적인 실험 정답으로 사용하지 않는다.,공식 연결 저장소의 릴리스와 계수 출처·라이선스를 고정한다. 이번 연구 단계에서는 설치·시뮬레이션하지 않는다.
MATERIALS_PROJECT,Materials Project material calculations,computed_materials_resource,P3,S21,API_terms_review,metadata_only,atomic_material_priors,Crystal/electronic/thermodynamic calculations accessed through official API,Optional material-phase and thermodynamic priors in a future multiscale research branch.,"No direct substitution for effective diffusivity, exchange current, porous-electrode geometry or aged full-cell behavior.",원자·결정 수준의 계산 자료는 소재 연구의 사전 정보이다. 실제 제조된 셀의 유효 물성이나 사이클 수명을 대신하지 않는다.,"Review official API requirements, use environment-held credentials and a scoped query; no API key or results included.",2026-09-10,False,공식 API로 접근하는 결정·전자·열역학 계산 자료이다.,추후 다중 스케일 소재 연구의 상·열역학 사전 정보로 제한한다.,제조 셀의 유효 확산·교환 전류·다공 구조·열화 거동을 직접 대체하지 않는다.,API 요구사항·약관을 검토하고 환경변수 인증과 제한된 쿼리를 사용한다. API 키·결과는 동봉하지 않았다.
PYBAMM_PARAMETERS,PyBaMM parameter and model documentation,software_reference_resource,P0,S02;S03;S04;S05,reference_only;upstream_licenses_apply,metadata_only,model_parameter_contract,"DFN, thermal, degradation and parameterization references; latest pages identify a development build",Define model equations and parameter meanings; later choose one stable pinned implementation and associated cell parameter set.,A library default is not a measured property of the selected target cell. Do not claim current stable compatibility based on latest docs.,향후 과학 커널의 방정식과 파라미터 계약을 정하는 참고 자료이다. 라이브러리 기본값을 목표 셀의 실측값으로 취급하지 않는다.,Pin a stable release during implementation and verify parameter source lineage; old Chen2020 source path returned 404 after repository restructuring.,2026-09-10,False,DFN·열·열화·매개변수 공식 문서이며 열람한 latest는 개발 빌드이다.,방정식과 매개변수 의미를 정의하고 추후 안정 버전·셀 세트를 고정한다.,라이브러리 기본값을 목표 셀 실측값으로 쓰거나 개발 문서만으로 안정 버전 호환성을 주장하지 않는다.,구현 시 실제 안정 릴리스와 출처를 확인한다. 기존 Chen2020 경로의 404는 저장소 개편 문제로 기록했다.
BPX_STANDARD,Battery Parameter eXchange,interchange_standard_resource,P0,S06,public_notes;full_docs_form_gated,metadata_only,schema_interoperability,"Public 1.1 notes cover SPMe, hysteresis, composite electrodes, LAM/LLI and cell state; bundled examples are legacy 0.1","Design explicit migration and semantic tests, preserving original units and parameter meanings.","Changing the version header is not a migration. A BPX file does not automatically specify pack topology, aging kinetics or uncertainty.",교환 형식의 기준이다. 동봉 파일은 BPX 0.1이므로 현재 규격처럼 표시하지 않고 단위·반응식 정의를 확인하는 마이그레이션 대상으로 남겼다.,"Review current official schema/specification. No contact form submitted, no claim of BPX 1.1 conformance.",2026-09-10,False,공개 1.1 안내는 SPMe·히스테리시스·복합 전극·LAM/LLI·셀 상태를 설명한다. 동봉 예제는 0.1이다.,원본 단위·의미를 보존하는 명시적 마이그레이션과 의미 검사를 설계한다.,헤더 변경을 마이그레이션으로 여기거나 팩·열화 속도·불확실성이 자동 지정됐다고 하지 않는다.,현재 공식 규격·스키마를 확인한다. 연락처 폼은 미제출이며 1.1 적합성을 주장하지 않는다.
BATTERY_ARCHIVE,Battery Archive discovery/access service,data_discovery_resource,P1,S11;S12,institution_specific_permissions,metadata_only,cross_study_discovery,"Multiple institutions, downloadable CSV by request",Find complementary studies and provenance. Use study IDs to de-duplicate mirrors.,Do not count mirrored copies as independent cell experiments or assume an umbrella archive license.,다양한 연구를 찾는 경로이며 단일 데이터셋은 아니다. 미러 파일을 독립 표본으로 중복 집계하지 않고 원 연구 ID로 묶는다.,Request only selected studies with clear intended scientific use; no email was sent by this package preparation.,2026-09-10,False,여러 기관 연구의 탐색·접근 서비스이며 전체 CSV는 요청 경로가 있다.,상보적인 연구를 찾고 원 연구 ID로 미러 중복을 제거한다.,미러를 독립 실험으로 집계하거나 전체에 공통 라이선스가 있다고 가정하지 않는다.,필요한 연구만 과학적 사용 목적을 명확히 하여 요청한다. 이번에는 이메일을 보내지 않았다.
BATTERY_ML,BatteryML research framework,software_reference_resource,P3,S27,reference_only;dataset_licenses_separate,metadata_only,ML_benchmark,Data-processing and benchmarking research,Use later to compare data-driven baselines under the same held-out cell split.,Not a substitute for a multi-physics parameter database or permission to republish source datasets.,머신러닝 기준 모델의 비교 후보이다. 물리 데이터 수집과 권리 검토를 대신하지 않으며 이번 ZIP에는 학습·추론 코드를 넣지 않는다.,Review primary paper and official code licenses only when the ML branch is authorized.,2026-09-10,False,배터리 데이터 처리·벤치마크를 다루는 연구 프레임워크이다.,추후 같은 셀 홀드아웃으로 데이터 기반 기준 모델을 비교한다.,다중 물리 물성 DB나 원본 데이터 재배포 허가를 대신하지 않는다.,ML 연구가 별도로 승인될 때 원 논문·공식 코드·개별 데이터의 권리를 검토한다.
