parameter_id,group,name_en,name_ko,unit_or_representation,dependencies,priority,required_by,acquisition_method_en,public_availability_en,source_ids,caution_ko,target_cell_value,uncertainty,state
separator_thickness,geometry,Separator thickness,분리막 두께,m,compression;T,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
negative_collector_thickness,geometry,Negative collector thickness,음극 집전체 두께,m,position,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
positive_collector_thickness,geometry,Positive collector thickness,양극 집전체 두께,m,position,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
electrode_area,geometry,Active electrode face area and normalization basis,활성 전극 면적과 정규화 기준,m2,electrode_pair,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
parallel_electrode_pairs,geometry,Parallel electrode-pair count,병렬 전극 쌍 개수,1,cell,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
cell_volume,geometry,Cell external volume,셀 외형 체적,m3,T;SOC,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
cell_mass,geometry,Measured cell mass,셀 실측 질량,kg,cell,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
cooling_area,geometry,Actually cooled surface area,실제 냉각 면적,m2,fixture,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
tab_geometry,geometry,Tab positions and cross sections,탭 위치와 단면,m;m2,geometry,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
winding_geometry,geometry,Jelly-roll radius pitch and uncoated margins,젤리롤 반경·피치·미도포 여백,m,geometry,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
porosity_profiles,geometry,Through-thickness porosity profiles,두께 방향 기공률 분포,1,position;pressure;age,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
particle_size_distribution,geometry,Active particle size distribution,활물질 입도 분포,m,phase,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
active_surface_area,geometry,Electrochemically active surface per bulk volume,단위 체적당 전기화학 활성 면적,m-1,SOC;age,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
active_volume_fraction,geometry,Active material volume fractions,활물질 체적 분율,1,phase;age,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
inactive_fractions,geometry,Binder conductive-additive and void fractions,바인더·도전재·기공 분율,1,phase,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
tortuosity_tensor,geometry,Directional transport tortuosity factor,방향별 수송 굴곡도 인자,1,direction;porosity,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
voxel_resolution,geometry,Tomography voxel dimensions and label convention,CT 복셀 크기와 상 라벨 규칙,m,reconstruction,P0,DFN;thermal;mechanical,"Cell teardown, dimensional metrology, microscopy or CT with scale calibration",Partly available in parameter sets; full collector and tab CAD usually missing,S01;S05;S15,같은 셀의 길이·면적·층수 정의를 유지한다.,,,requirement_not_collected_value
negative_ocp,electrode,Negative OCP versus stoichiometry,음극 화학양론비별 평형 전위,V vs Li/Li+,stoichiometry;T;history,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
positive_ocp,electrode,Positive OCP versus stoichiometry,양극 화학양론비별 평형 전위,V vs Li/Li+,stoichiometry;T;history,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
negative_cmax,electrode,Negative maximum solid lithium concentration,음극 최대 고체 리튬 농도,mol m-3,phase,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
positive_cmax,electrode,Positive maximum solid lithium concentration,양극 최대 고체 리튬 농도,mol m-3,phase,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
stoich_limits,electrode,Usable electrode stoichiometric windows,전극 유효 화학양론비 구간,1,cutoff;SOH,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
initial_stoich,electrode,Initial stoichiometry and lithium inventory,초기 화학양론비와 리튬 재고량,1;mol,SOC;SOH,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
negative_diffusivity,electrode,Negative solid diffusivity function,음극 고체 확산계수 함수,m2 s-1,stoichiometry;T;stress,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
positive_diffusivity,electrode,Positive solid diffusivity function,양극 고체 확산계수 함수,m2 s-1,stoichiometry;T;stress,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
exchange_current,electrode,Exchange-current-density law and units,교환 전류밀도 법칙과 단위,A m-2,ce;cs;T,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
kinetic_rate_constant,electrode,Kinetic coefficient with concentration convention,농도 정의를 포함한 반응 속도 계수,source-defined,ce;cs;T,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
transfer_coefficients,electrode,Anodic/cathodic charge-transfer coefficients,양극·음극 방향 전하 전달 계수,1,reaction,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
electrode_conductivity,electrode,Effective solid electronic conductivity,전극 유효 전자 전도도,S m-1,SOC;T;direction,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
diffusion_activation_energy,electrode,Activation energy for diffusion,확산 활성화 에너지,J mol-1,phase;range,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
kinetic_activation_energy,electrode,Activation energy for kinetics,반응 속도 활성화 에너지,J mol-1,phase;range,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
double_layer_capacitance,electrode,Double-layer capacitance and area convention,이중층 정전용량과 면적 기준,F m-2,SOC;T,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
hysteresis_parameters,electrode,Hysteresis amplitude and evolution law,히스테리시스 크기와 진화 법칙,V;source-defined,SOC;T;history,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
phase_transition_law,electrode,Phase fraction and chemical-potential relation,상 분율과 화학 퍼텐셜 관계,source-defined,composition;T;history,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
composite_phase_partition,electrode,Composite electrode phase-specific partition,복합 전극 상별 반응 분배,1,current;SOC;phase,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
interfacial_film_resistance,electrode,Interfacial film resistance and area basis,계면 피막 저항과 면적 기준,ohm m2,age;T,P0,SPM;SPMe;DFN,"Half-cell OCP, GITT/PITT, EIS and independent structural measurements",Strongly cell-specific; some public functions are fitted or literature-derived,S01;S02;S05,반쪽전지 전위·확산·반응 속도를 독립 근거와 함께 사용한다.,,,requirement_not_collected_value
salt_solvent_composition,electrolyte,Salt solvent additive and concentration identity,염·용매·첨가제·농도 정보,composition,batch,P0,SPMe;DFN,"Electrolyte composition records, transport experiments and thermodynamic measurements",Often borrowed from a different concentration/solvent system,S01;S02;S05,농도·용매·염·온도 범위를 함께 확인한다.,,,requirement_not_collected_value
initial_electrolyte_concentration,electrolyte,Initial electrolyte salt concentration,초기 전해질 염 농도,mol m-3,T,P0,SPMe;DFN,"Electrolyte composition records, transport experiments and thermodynamic measurements",Often borrowed from a different concentration/solvent system,S01;S02;S05,농도·용매·염·온도 범위를 함께 확인한다.,,,requirement_not_collected_value
electrolyte_diffusivity,electrolyte,Electrolyte salt diffusivity,전해질 염 확산계수,m2 s-1,concentration;T,P0,SPMe;DFN,"Electrolyte composition records, transport experiments and thermodynamic measurements",Often borrowed from a different concentration/solvent system,S01;S02;S05,농도·용매·염·온도 범위를 함께 확인한다.,,,requirement_not_collected_value
electrolyte_conductivity,electrolyte,Electrolyte ionic conductivity,전해질 이온 전도도,S m-1,concentration;T,P0,SPMe;DFN,"Electrolyte composition records, transport experiments and thermodynamic measurements",Often borrowed from a different concentration/solvent system,S01;S02;S05,농도·용매·염·온도 범위를 함께 확인한다.,,,requirement_not_collected_value
transference_number,electrolyte,Cation transference number and frame definition,양이온 전달수와 기준계 정의,1,concentration;T,P0,SPMe;DFN,"Electrolyte composition records, transport experiments and thermodynamic measurements",Often borrowed from a different concentration/solvent system,S01;S02;S05,농도·용매·염·온도 범위를 함께 확인한다.,,,requirement_not_collected_value
thermodynamic_factor,electrolyte,Thermodynamic factor or activity derivative,열역학 인자와 활동도 미분,1,concentration;T,P0,SPMe;DFN,"Electrolyte composition records, transport experiments and thermodynamic measurements",Often borrowed from a different concentration/solvent system,S01;S02;S05,농도·용매·염·온도 범위를 함께 확인한다.,,,requirement_not_collected_value
electrolyte_activation,electrolyte,Transport activation energies,전해질 수송 활성화 에너지,J mol-1,range,P0,SPMe;DFN,"Electrolyte composition records, transport experiments and thermodynamic measurements",Often borrowed from a different concentration/solvent system,S01;S02;S05,농도·용매·염·온도 범위를 함께 확인한다.,,,requirement_not_collected_value
separator_transport,electrolyte,Separator transport efficiency and wetting,분리막 수송 효율과 젖음 상태,1,T;pressure;age,P0,SPMe;DFN,"Electrolyte composition records, transport experiments and thermodynamic measurements",Often borrowed from a different concentration/solvent system,S01;S02;S05,농도·용매·염·온도 범위를 함께 확인한다.,,,requirement_not_collected_value
electrolyte_density_viscosity,electrolyte,Electrolyte density and viscosity,전해질 밀도와 점도,kg m-3;Pa s,concentration;T,P0,SPMe;DFN,"Electrolyte composition records, transport experiments and thermodynamic measurements",Often borrowed from a different concentration/solvent system,S01;S02;S05,농도·용매·염·온도 범위를 함께 확인한다.,,,requirement_not_collected_value
voltage_trace,electrical,Terminal voltage time series,단자 전압 시계열,V,time,P0,ECM;validation;BMS,"Rested OCV, HPPC/pulses, dynamic cycling, EIS and instrument calibration",Time series abundant; fully rested and temperature-resolved maps less complete,S07;S08;S10,측정 조건과 전류 부호를 보존하고 기준값과 추정값을 구분한다.,,,requirement_not_collected_value
current_trace,electrical,Terminal current with sign convention,부호 정의가 있는 단자 전류,A,time,P0,ECM;validation;BMS,"Rested OCV, HPPC/pulses, dynamic cycling, EIS and instrument calibration",Time series abundant; fully rested and temperature-resolved maps less complete,S07;S08;S10,측정 조건과 전류 부호를 보존하고 기준값과 추정값을 구분한다.,,,requirement_not_collected_value
voltage_limits,electrical,Cell and protocol cutoff voltages,셀·프로토콜 차단 전압,V,T;SOH;protocol,P0,ECM;validation;BMS,"Rested OCV, HPPC/pulses, dynamic cycling, EIS and instrument calibration",Time series abundant; fully rested and temperature-resolved maps less complete,S07;S08;S10,측정 조건과 전류 부호를 보존하고 기준값과 추정값을 구분한다.,,,requirement_not_collected_value
ocv_soc_map,electrical,Rested full-cell OCV-SOC relation,충분히 휴지한 셀의 OCV-SOC 관계,V,SOC;T;history,P0,ECM;validation;BMS,"Rested OCV, HPPC/pulses, dynamic cycling, EIS and instrument calibration",Time series abundant; fully rested and temperature-resolved maps less complete,S07;S08;S10,측정 조건과 전류 부호를 보존하고 기준값과 추정값을 구분한다.,,,requirement_not_collected_value
pulse_resistance,electrical,Pulse-duration-specific resistance,펄스 시간별 저항,ohm,SOC;T;SOH;duration,P0,ECM;validation;BMS,"Rested OCV, HPPC/pulses, dynamic cycling, EIS and instrument calibration",Time series abundant; fully rested and temperature-resolved maps less complete,S07;S08;S10,측정 조건과 전류 부호를 보존하고 기준값과 추정값을 구분한다.,,,requirement_not_collected_value
ecm_rc_map,electrical,Equivalent-circuit R-C maps,등가회로 R-C 맵,ohm;F,SOC;T;SOH,P0,ECM;validation;BMS,"Rested OCV, HPPC/pulses, dynamic cycling, EIS and instrument calibration",Time series abundant; fully rested and temperature-resolved maps less complete,S07;S08;S10,측정 조건과 전류 부호를 보존하고 기준값과 추정값을 구분한다.,,,requirement_not_collected_value
eis_spectrum,electrical,Complex impedance and frequency,복소 임피던스와 주파수,ohm;Hz,SOC;T;amplitude;rest,P0,ECM;validation;BMS,"Rested OCV, HPPC/pulses, dynamic cycling, EIS and instrument calibration",Time series abundant; fully rested and temperature-resolved maps less complete,S07;S08;S10,측정 조건과 전류 부호를 보존하고 기준값과 추정값을 구분한다.,,,requirement_not_collected_value
charge_discharge_capacity,electrical,Measured charge and discharge capacity,실측 충전·방전 용량,Ah,protocol;T;age,P0,ECM;validation;BMS,"Rested OCV, HPPC/pulses, dynamic cycling, EIS and instrument calibration",Time series abundant; fully rested and temperature-resolved maps less complete,S07;S08;S10,측정 조건과 전류 부호를 보존하고 기준값과 추정값을 구분한다.,,,requirement_not_collected_value
relaxation_trace,electrical,Post-current voltage relaxation,전류 종료 후 전압 이완,V,time;history,P0,ECM;validation;BMS,"Rested OCV, HPPC/pulses, dynamic cycling, EIS and instrument calibration",Time series abundant; fully rested and temperature-resolved maps less complete,S07;S08;S10,측정 조건과 전류 부호를 보존하고 기준값과 추정값을 구분한다.,,,requirement_not_collected_value
coulombic_efficiency,electrical,Coulombic efficiency and integration definition,쿨롱 효율과 적분 정의,1,cycle;T;SOC,P0,ECM;validation;BMS,"Rested OCV, HPPC/pulses, dynamic cycling, EIS and instrument calibration",Time series abundant; fully rested and temperature-resolved maps less complete,S07;S08;S10,측정 조건과 전류 부호를 보존하고 기준값과 추정값을 구분한다.,,,requirement_not_collected_value
charger_profile,electrical,Charge control and taper termination,충전 제어와 정전압 종료 조건,protocol,T;SOH,P0,ECM;validation;BMS,"Rested OCV, HPPC/pulses, dynamic cycling, EIS and instrument calibration",Time series abundant; fully rested and temperature-resolved maps less complete,S07;S08;S10,측정 조건과 전류 부호를 보존하고 기준값과 추정값을 구분한다.,,,requirement_not_collected_value
heat_capacity,heat,Cell and layer specific heat capacity,셀·층별 비열,J kg-1 K-1,T;SOC,P1,electrothermal,"Calorimetry, thermal relaxation, controlled cooling and temperature sensors",Sparse matched-cell normal-operation thermal measurements,S01;S03;S14,표면·코어·주변 온도와 열 경계조건을 분리한다.,,,requirement_not_collected_value
density,heat,Thermal-domain density,열 도메인 밀도,kg m-3,phase;T,P1,electrothermal,"Calorimetry, thermal relaxation, controlled cooling and temperature sensors",Sparse matched-cell normal-operation thermal measurements,S01;S03;S14,표면·코어·주변 온도와 열 경계조건을 분리한다.,,,requirement_not_collected_value
thermal_conductivity_tensor,heat,Radial axial and in-plane thermal conductivity,반경·축·평면 방향 열전도율,W m-1 K-1,T;SOC;direction,P1,electrothermal,"Calorimetry, thermal relaxation, controlled cooling and temperature sensors",Sparse matched-cell normal-operation thermal measurements,S01;S03;S14,표면·코어·주변 온도와 열 경계조건을 분리한다.,,,requirement_not_collected_value
entropy_coefficient,heat,Electrode and full-cell entropic coefficient,전극·셀 엔트로피 계수,V K-1,stoichiometry;SOC;history,P1,electrothermal,"Calorimetry, thermal relaxation, controlled cooling and temperature sensors",Sparse matched-cell normal-operation thermal measurements,S01;S03;S14,표면·코어·주변 온도와 열 경계조건을 분리한다.,,,requirement_not_collected_value
contact_thermal_resistance,heat,Contact thermal resistance and area convention,접촉 열저항과 면적 기준,K W-1 or m2 K W-1,pressure;T,P1,electrothermal,"Calorimetry, thermal relaxation, controlled cooling and temperature sensors",Sparse matched-cell normal-operation thermal measurements,S01;S03;S14,표면·코어·주변 온도와 열 경계조건을 분리한다.,,,requirement_not_collected_value
convection_coefficient,heat,Boundary heat-transfer coefficient,경계 대류 열전달 계수,W m-2 K-1,flow;surface;T,P1,electrothermal,"Calorimetry, thermal relaxation, controlled cooling and temperature sensors",Sparse matched-cell normal-operation thermal measurements,S01;S03;S14,표면·코어·주변 온도와 열 경계조건을 분리한다.,,,requirement_not_collected_value
ambient_temperature,heat,Chamber or local ambient temperature,챔버·국소 주변 온도,K,time;position,P1,electrothermal,"Calorimetry, thermal relaxation, controlled cooling and temperature sensors",Sparse matched-cell normal-operation thermal measurements,S01;S03;S14,표면·코어·주변 온도와 열 경계조건을 분리한다.,,,requirement_not_collected_value
surface_temperature,heat,Cell surface sensor temperature,셀 표면 센서 온도,K,time;sensor_position,P1,electrothermal,"Calorimetry, thermal relaxation, controlled cooling and temperature sensors",Sparse matched-cell normal-operation thermal measurements,S01;S03;S14,표면·코어·주변 온도와 열 경계조건을 분리한다.,,,requirement_not_collected_value
core_temperature,heat,Internal sensor or inferred core temperature,내부 센서·추정 코어 온도,K,time;method,P1,electrothermal,"Calorimetry, thermal relaxation, controlled cooling and temperature sensors",Sparse matched-cell normal-operation thermal measurements,S01;S03;S14,표면·코어·주변 온도와 열 경계조건을 분리한다.,,,requirement_not_collected_value
normal_cycle_heat,heat,Normal-operation heat-generation time series,정상 작동 발열 시계열,W,time;SOC;current,P1,electrothermal,"Calorimetry, thermal relaxation, controlled cooling and temperature sensors",Sparse matched-cell normal-operation thermal measurements,S01;S03;S14,표면·코어·주변 온도와 열 경계조건을 분리한다.,,,requirement_not_collected_value
coolant_properties,heat,Coolant heat capacity density viscosity and conductivity,냉각수 비열·밀도·점도·열전도율,SI-property-map,T;composition,P1,electrothermal,"Calorimetry, thermal relaxation, controlled cooling and temperature sensors",Sparse matched-cell normal-operation thermal measurements,S01;S03;S14,표면·코어·주변 온도와 열 경계조건을 분리한다.,,,requirement_not_collected_value
coolant_flow_temperature,heat,Coolant mass flow inlet and outlet temperature,냉각수 질량 유량·입출구 온도,kg s-1;K,time,P1,electrothermal,"Calorimetry, thermal relaxation, controlled cooling and temperature sensors",Sparse matched-cell normal-operation thermal measurements,S01;S03;S14,표면·코어·주변 온도와 열 경계조건을 분리한다.,,,requirement_not_collected_value
radiative_properties,heat,Emissivity and radiative boundary view factors,방사율과 복사 형상계수,1,surface;T,P1,electrothermal,"Calorimetry, thermal relaxation, controlled cooling and temperature sensors",Sparse matched-cell normal-operation thermal measurements,S01;S03;S14,표면·코어·주변 온도와 열 경계조건을 분리한다.,,,requirement_not_collected_value
calendar_matrix,aging,Storage SOC-temperature-time matrix,저장 SOC·온도·시간 행렬,protocol,calendar_time,P1,degradation,"Calendar/cycle matrices, reference tests, differential voltage, post-mortem and independent diagnostics",Many capacity curves; mechanism-resolved coefficient identification remains incomplete,S04;S08;S09;S11;S25,사이클·달력 열화와 LLI·LAM 등 상태를 중복 계산하지 않는다.,,,requirement_not_collected_value
cycle_matrix,aging,Cycle rate-DOD-mean-SOC-temperature matrix,사이클 율·DOD·평균 SOC·온도 행렬,protocol,cycle;wall_time,P1,degradation,"Calendar/cycle matrices, reference tests, differential voltage, post-mortem and independent diagnostics",Many capacity curves; mechanism-resolved coefficient identification remains incomplete,S04;S08;S09;S11;S25,사이클·달력 열화와 LLI·LAM 등 상태를 중복 계산하지 않는다.,,,requirement_not_collected_value
reference_tests,aging,Reference performance test definition and traces,기준 성능 시험 정의와 시계열,protocol,age,P1,degradation,"Calendar/cycle matrices, reference tests, differential voltage, post-mortem and independent diagnostics",Many capacity curves; mechanism-resolved coefficient identification remains incomplete,S04;S08;S09;S11;S25,사이클·달력 열화와 LLI·LAM 등 상태를 중복 계산하지 않는다.,,,requirement_not_collected_value
